beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Last Chance IPA","Weyerbacher Brewing Company","IPA - American",5.9,30,,,,,,,,3.75,"2019-01-20 21:26:55",https://untappd.com/c/703569917,https://untappd.com/beer/169925,https://untappd.com/brewery/1352,"United States",Easton,PA,"smooth,hoppy","Total Wine & More - Wilmington, DE",Can,703569917,169925,1352,https://untappd.s3.amazonaws.com/photos/2019_01_21/9d4a8bd71b826214a686b33a98827bfe_raw.jpg,3.54,3.54,,1,0
"AK [dissident Warrior Edition] (Ghost 635)","Adroit Theory","IPA - Imperial / Double New England",8,27,,,,,,,,4.75,"2019-01-22 20:46:59",https://untappd.com/c/703969171,https://untappd.com/beer/2574407,https://untappd.com/brewery/33686,"United States",Purcellville,VA,,"State Line Liquors",Bottle,703969171,2574407,33686,https://untappd.s3.amazonaws.com/photos/2019_01_23/3da4cdb4531fb2785829ffedde315c8c_raw.jpg,4.05,4,,0,0
"AK [silent warrior edition] (Ghost 653)","Adroit Theory","IPA - Imperial / Double New England",8.2,27,,,,,,,,4.75,"2019-01-23 19:59:40",https://untappd.com/c/704168416,https://untappd.com/beer/2775873,https://untappd.com/brewery/33686,"United States",Purcellville,VA,"piney,smooth","State Line Liquors",Bottle,704168416,2775873,33686,https://untappd.s3.amazonaws.com/photos/2019_01_24/0d925fb24491ffe3bed3d5ec56c0a74c_raw.jpg,4.01,3.97,,0,0
"Peachy Bones (Batch 3)","Firestone Walker Brewing Company","Farmhouse Ale - Saison",6.1,0,,"Two Stones Pub",Newark,DE,"United States",39.6619,-75.7266,4.25,"2019-01-25 12:23:38",https://untappd.com/c/704577580,https://untappd.com/beer/2860981,https://untappd.com/brewery/524,"United States","Paso Robles",CA,,"Two Stones Pub",Draft,704577580,2860981,524,https://untappd.s3.amazonaws.com/photos/2019_01_25/7d746412b5f69bbdc6550f19386067ea_raw.jpg,4.07,4.03,,0,0
"Oak-Aged Vanilla World Wide Stout","Dogfish Head Craft Brewery","Stout - Imperial / Double",17.5,70,,"Two Stones Pub",Newark,DE,"United States",39.6619,-75.7266,4.75,"2019-01-25 13:03:18",https://untappd.com/c/704593642,https://untappd.com/beer/2165258,https://untappd.com/brewery/459,"United States",Milton,DE,vanilla,"Two Stones Pub",Draft,704593642,2165258,459,https://untappd.s3.amazonaws.com/photos/2019_01_25/8c929bdef2dc53346e5edd3b44fd0bdc_raw.jpg,4.29,4.29,,0,0
"Stone Grapefruit Slam IPA","Stone Brewing","IPA - Imperial / Double",8,0,,,,,,,,3.75,"2019-01-26 20:30:57",https://untappd.com/c/705623996,https://untappd.com/beer/3039771,https://untappd.com/brewery/1204,"United States",Escondido,CA,"grapefruity,hoppy","State Line Liquors",Can,705623996,3039771,1204,https://untappd.s3.amazonaws.com/photos/2019_01_27/9b62558930616cf52ea19b097ca73176_raw.jpg,3.66,3.66,,0,0
"All I See Is Carrion (Ghost 660)","Adroit Theory","Belgian Quadrupel",12,29,"Absolutely incredible.",,,,,,,5,"2019-01-27 20:43:09",https://untappd.com/c/706106166,https://untappd.com/beer/2928698,https://untappd.com/brewery/33686,"United States",Purcellville,VA,"rich,boozy,dark","State Line Liquors",Bottle,706106166,2928698,33686,https://untappd.s3.amazonaws.com/photos/2019_01_28/8f34838562f8b99f692f8b0b5418ac99_raw.jpg,4.06,4.01,,1,0
"Stout Aged in Bulleit Bourbon Barrels","Guinness Open Gate Brewery ","Stout - Foreign / Export",10,60,,,,,,,,4.5,"2019-01-28 20:27:34",https://untappd.com/c/706286596,https://untappd.com/beer/2939790,https://untappd.com/brewery/366942,"United States",Halethorpe,MD,"sweet,barrel aged,bourbon","State Line Liquors",Bottle,706286596,2939790,366942,https://untappd.s3.amazonaws.com/photos/2019_01_29/fca765b079c9bc4378c5e24b0874fe6b_raw.jpg,4.06,4.05,,0,0
"Pear Cider","Original Sin ","Cider - Perry",4.5,0,,,,,,,,3.75,"2019-01-29 12:35:48",https://untappd.com/c/706362405,https://untappd.com/beer/27810,https://untappd.com/brewery/6200,"United States","New York",NY,"light,sweet,pear","State Line Liquors",Can,706362405,27810,6200,https://untappd.s3.amazonaws.com/photos/2019_01_29/2d287f7996c6d8e3af4cbafee504bcb9_raw.jpg,3.51,3.52,,0,0
"Extra Dry","Original Sin ","Cider - Traditional",5.5,0,,,,,,,,3.25,"2019-01-29 12:44:57",https://untappd.com/c/706363715,https://untappd.com/beer/1385937,https://untappd.com/brewery/6200,"United States","New York",NY,"light,dry,apple","State Line Liquors",Can,706363715,1385937,6200,https://untappd.s3.amazonaws.com/photos/2019_01_29/eb6304b1fa4ec751876ebd3aeb95ea71_raw.jpg,3.49,3.56,,0,0
