brewery_name,visited_at,brewery_country,brewery_city,brewery_state,brewery_lat,brewery_lng,brewery_id,photo_url
Burley Oak Brewing Company,6/11/21 15:31,United States,Berlin,MD,38.3338,-75.217,15646,
Black Narrows Brewing Co.,6/9/21 19:00,United States,Chincoteague,VA,37.9312,-75.362,338135,
Autumn Arch Beer Project,7/22/21 18:36,United States,Newark,DE,39.6115,-75.7695,426009,
Bonesaw Brewing Co,8/4/21 19:47,United States,Glassboro,NJ,39.7128,-75.1361,396236,
